product_id,store_id,quantity
1,1,27
2,1,5
3,1,6
4,1,23
5,1,22
6,1,0
7,1,8
8,1,0
9,1,11
10,1,15
11,1,8
12,1,16
13,1,13
14,1,8
15,1,3
16,1,4
17,1,2
18,1,16
19,1,4
20,1,26
21,1,24
22,1,29
23,1,9
24,1,10
25,1,10
26,1,16
27,1,21
28,1,20
29,1,13
30,1,30
31,1,2
32,1,0
33,1,10
34,1,2
35,1,18
36,1,26
37,1,12
38,1,13
39,1,2
40,1,24
41,1,10
42,1,0
43,1,2
44,1,1
45,1,15
46,1,19
47,1,21
48,1,5
49,1,8
50,1,29
51,1,2
52,1,18
53,1,17
54,1,11
55,1,11
56,1,15
57,1,1
58,1,1
59,1,22
60,1,19
61,1,30
62,1,21
63,1,4
64,1,30
65,1,10
66,1,12
67,1,19
68,1,30
69,1,4
70,1,3
71,1,25
72,1,9
73,1,7
74,1,9
75,1,23
76,1,15
77,1,16
78,1,13
79,1,13
80,1,11
81,1,25
82,1,1
83,1,13
84,1,11
85,1,23
86,1,19
87,1,27
88,1,7
89,1,9
90,1,4
91,1,8
92,1,0
93,1,22
94,1,6
95,1,25
96,1,20
97,1,20
98,1,28
99,1,28
100,1,15
101,1,17
102,1,9
103,1,13
104,1,25
105,1,7
106,1,30
107,1,20
108,1,15
109,1,30
110,1,1
111,1,11
112,1,17
113,1,24
114,1,3
115,1,10
116,1,24
117,1,15
118,1,12
119,1,17
120,1,23
121,1,19
122,1,22
123,1,8
124,1,23
125,1,22
126,1,28
127,1,12
128,1,11
129,1,21
130,1,22
131,1,20
132,1,1
133,1,9
134,1,26
135,1,15
136,1,12
137,1,12
138,1,6
139,1,17
140,1,3
141,1,21
142,1,22
143,1,19
144,1,7
145,1,5
146,1,6
147,1,8
148,1,6
149,1,1
150,1,22
151,1,24
152,1,12
153,1,25
154,1,13
155,1,8
156,1,13
157,1,25
158,1,11
159,1,18
160,1,0
161,1,17
162,1,14
163,1,0
164,1,15
165,1,16
166,1,23
167,1,28
168,1,0
169,1,25
170,1,14
171,1,3
172,1,3
173,1,2
174,1,26
175,1,2
176,1,11
177,1,19
178,1,23
179,1,16
180,1,5
181,1,19
182,1,28
183,1,11
184,1,4
185,1,3
186,1,1
187,1,16
188,1,30
189,1,6
190,1,21
191,1,21
192,1,20
193,1,30
194,1,24
195,1,1
196,1,26
197,1,22
198,1,1
199,1,2
200,1,27
201,1,16
202,1,5
203,1,4
204,1,23
205,1,9
206,1,10
207,1,27
208,1,13
209,1,22
210,1,25
211,1,13
212,1,17
213,1,14
214,1,4
215,1,1
216,1,11
217,1,11
218,1,27
219,1,30
220,1,4
221,1,7
222,1,12
223,1,3
224,1,16
225,1,24
226,1,18
227,1,19
228,1,22
229,1,27
230,1,7
231,1,25
232,1,5
233,1,5
234,1,13
235,1,7
236,1,18
237,1,26
238,1,20
239,1,28
240,1,17
241,1,17
242,1,10
243,1,11
244,1,10
245,1,3
246,1,0
247,1,15
248,1,14
249,1,27
250,1,3
251,1,2
252,1,28
253,1,16
254,1,24
255,1,13
256,1,20
257,1,17
258,1,25
259,1,10
260,1,20
261,1,3
262,1,6
263,1,21
264,1,16
265,1,28
266,1,1
267,1,27
268,1,23
269,1,22
270,1,16
271,1,6
272,1,14
273,1,20
274,1,19
275,1,28
276,1,7
277,1,13
278,1,17
279,1,17
280,1,23
281,1,11
282,1,6
283,1,10
284,1,27
285,1,20
286,1,28
287,1,2
288,1,9
289,1,2
290,1,8
291,1,9
292,1,30
293,1,18
294,1,3
295,1,24
296,1,9
297,1,22
298,1,26
299,1,18
300,1,7
301,1,10
302,1,0
303,1,12
304,1,15
305,1,23
306,1,21
307,1,17
308,1,23
309,1,7
310,1,18
311,1,20
312,1,23
313,1,14
1,2,14
2,2,16
3,2,28
4,2,2
5,2,1
6,2,11
7,2,8
8,2,1
9,2,17
10,2,13
11,2,21
12,2,2
13,2,1
14,2,18
15,2,6
16,2,20
17,2,3
18,2,13
19,2,15
20,2,20
21,2,16
22,2,0
23,2,12
24,2,16
25,2,18
26,2,2
27,2,10
28,2,25
29,2,29
30,2,17
31,2,10
32,2,13
33,2,8
34,2,24
35,2,25
36,2,15
37,2,5
38,2,18
39,2,28
40,2,15
41,2,6
42,2,16
43,2,2
44,2,24
45,2,13
46,2,18
47,2,0
48,2,20
49,2,4
50,2,7
51,2,8
52,2,23
53,2,19
54,2,6
55,2,5
56,2,20
57,2,27
58,2,15
59,2,17
60,2,1
61,2,20
62,2,4
63,2,5
64,2,30
65,2,16
66,2,22
67,2,8
68,2,23
69,2,22
70,2,6
71,2,30
72,2,1
73,2,20
74,2,23
75,2,11
76,2,20
77,2,25
78,2,4
79,2,29
80,2,27
81,2,19
82,2,4
83,2,21
84,2,22
85,2,6
86,2,24
87,2,14
88,2,8
89,2,8
90,2,26
91,2,0
92,2,22
93,2,22
94,2,2
95,2,10
96,2,22
97,2,15
98,2,14
99,2,24
100,2,12
101,2,4
102,2,12
103,2,1
104,2,26
105,2,3
106,2,7
107,2,29
108,2,29
109,2,25
110,2,7
111,2,6
112,2,1
113,2,7
114,2,12
115,2,19
116,2,17
117,2,18
118,2,25
119,2,23
120,2,16
121,2,3
122,2,11
123,2,18
124,2,4
125,2,10
126,2,13
127,2,12
128,2,28
129,2,21
130,2,17
131,2,9
132,2,6
133,2,28
134,2,13
135,2,30
136,2,8
137,2,1
138,2,16
139,2,24
140,2,13
141,2,28
142,2,24
143,2,12
144,2,4
145,2,23
146,2,3
147,2,13
148,2,27
149,2,22
150,2,7
151,2,2
152,2,21
153,2,21
154,2,9
155,2,21
156,2,8
157,2,28
158,2,0
159,2,30
160,2,4
161,2,9
162,2,18
163,2,30
164,2,9
165,2,6
166,2,27
167,2,1
168,2,29
169,2,1
